                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5092,                 2.8531,                 1.3521,                0.32364,                0.46252,                0.40731,                0.22708,                  1.358,                  2.979,                 1.1597,             0.00047098,             0.00047098,             0.00047098
                      1,                 1.4902,                 2.3271,                 1.3275,                 0.3917,                0.83333,                0.49839,                0.35016,                 1.2023,                 2.3506,                 1.1328,              0.0009098,              0.0009098,              0.0009098
                      2,                 1.5473,                 2.1465,                 1.3665,                0.33154,                0.48958,                 0.4213,                0.26484,                 1.2937,                 2.6364,                 1.1468,              0.0013109,              0.0013109,              0.0013109
                      3,                 1.5061,                 1.8857,                   1.33,                  0.478,                0.60022,                 0.5255,                0.30751,                 1.3036,                 1.8418,                 1.1583,              0.0012592,              0.0012592,              0.0012592
                      4,                 1.5368,                 1.7035,                 1.3318,                0.35706,                0.59375,                0.58136,                0.30549,                 1.4595,                 1.6461,                 1.1824,              0.0012592,              0.0012592,              0.0012592
                      5,                 1.4613,                 1.5326,                 1.3032,                0.57484,                0.92225,                0.65431,                0.26571,                 1.9088,                 1.5252,                 1.4154,              0.0012026,              0.0012026,              0.0012026
                      6,                 1.4852,                 1.4225,                 1.3181,                0.66249,                0.85018,                0.81106,                0.47604,                 1.1986,                 1.5312,                 1.1161,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.4204,                 1.3736,                 1.2841,                0.72688,                0.75694,                 0.8173,                0.54003,                 1.1824,                  1.005,                 1.0847,              0.0010895,              0.0010895,              0.0010895
                      8,                 1.3972,                 1.2689,                 1.2767,                0.77716,                0.84645,                0.92648,                0.61559,                 1.1459,                 1.1933,                  1.134,              0.0010329,              0.0010329,              0.0010329
                      9,                 1.3917,                 1.2178,                 1.2736,                0.85914,                0.92067,                0.97464,                 0.7326,                 1.0023,                0.83077,                 1.0461,             0.00097629,             0.00097629,             0.00097629
                     10,                 1.3735,                 1.1671,                 1.2598,                0.97871,                0.90919,                 0.9856,                0.70568,                 1.1309,                0.75386,                 1.0645,              0.0009197,              0.0009197,              0.0009197
                     11,                 1.3392,                 1.1178,                  1.242,                0.97964,                 0.9414,                0.99063,                 0.7776,                0.89899,                0.67658,                 0.9999,             0.00086312,             0.00086312,             0.00086312
                     12,                  1.326,                 1.0642,                 1.2369,                 0.9269,                0.96864,                0.95127,                0.72713,                0.97022,                0.65201,                0.99493,             0.00080653,             0.00080653,             0.00080653
                     13,                 1.3001,                 1.0504,                 1.2235,                0.94498,                0.97397,                0.97504,                0.64264,                 1.3166,                0.68857,                 1.1144,             0.00074994,             0.00074994,             0.00074994
                     14,                 1.2925,                0.98938,                  1.218,                0.96646,                0.97917,                0.99382,                0.78573,                0.86767,                0.60619,                0.96769,             0.00069335,             0.00069335,             0.00069335
                     15,                 1.2606,                0.97013,                 1.2049,                0.96754,                0.95149,                0.99093,                0.75773,                0.88042,                0.62128,                  0.979,             0.00063676,             0.00063676,             0.00063676
                     16,                 1.2511,                0.94094,                 1.1992,                0.94182,                0.96875,                0.98647,                0.78477,                0.83411,                0.56611,                0.96078,             0.00058017,             0.00058017,             0.00058017
                     17,                 1.2116,                0.90969,                 1.1854,                0.96119,                0.86624,                0.95335,                0.77023,                0.83225,                0.60232,                0.95173,             0.00052359,             0.00052359,             0.00052359
                     18,                 1.2308,                0.91513,                 1.1858,                0.98403,                0.97361,                 0.9947,                0.77975,                0.92205,                0.51023,                0.97719,               0.000467,               0.000467,               0.000467
                     19,                 1.1766,                0.85096,                 1.1647,                0.97106,                0.97075,                  0.995,                0.79777,                0.85397,                0.51074,                0.95098,             0.00041041,             0.00041041,             0.00041041
                     20,                 1.1876,                0.85613,                 1.1616,                0.97755,                0.97654,                  0.995,                0.83654,                0.74458,                0.47353,                0.93538,             0.00035382,             0.00035382,             0.00035382
                     21,                 1.1717,                0.82621,                 1.1596,                0.98475,                0.98118,                0.99441,                0.81159,                 0.7982,                0.46248,                0.93719,             0.00029723,             0.00029723,             0.00029723
                     22,                 1.1449,                0.79673,                 1.1398,                0.98354,                0.97304,                0.99358,                0.81967,                0.75957,                0.47075,                0.93805,             0.00024064,             0.00024064,             0.00024064
                     23,                  1.147,                0.80929,                 1.1487,                0.98275,                0.98969,                  0.995,                0.81335,                0.78747,                0.47448,                0.93363,             0.00018406,             0.00018406,             0.00018406
                     24,                  1.108,                0.76013,                 1.1328,                0.98096,                0.97339,                0.99441,                0.83431,                0.76478,                0.45507,                0.92523,             0.00012747,             0.00012747,             0.00012747
